isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,False,1,0,0,0.03,-0.3,-0.33,-0.315,gamble,win,-0.3,-0.3,122.633946382033,1,2.101055758656,124.75143241309,128.753044497775,129.753425599978,NaN,NaN,NaN,NaN,NaN,14130,16671,21473,0,0,22694
True,True,False,1,0,0,0.03,2.9,2.87,1.435,gamble,win,2.9,2.6,131.770815187512,1,2.01771469236701,133.821618574002,137.806497040467,138.80693733989,NaN,NaN,NaN,NaN,NaN,25094,27555,32337,0,0,33559
True,False,False,1,0,0,-0.03,12.1,12.07,6.035,gamble,lose,12.07,14.67,140.824334927078,1,0.93394164624624,141.791376146924,145.792986311688,155.279929001728,146.776641155331,147.777032817045,1,7.50277555032517,150.778221881483,35959,37119,41921,44302,47903,53326
True,True,False,1,0,0,0.03,12.7,12.67,6.335,gamble,win,12.7,27.37,157.297395065718,1,0.783941294270335,158.114430173824,162.115984021249,163.099654224177,NaN,NaN,NaN,NaN,NaN,55726,56706,61509,0,0,62710
True,True,True,1,0,0,0.03,-0.9,-0.93,-0.915,gamble,win,-0.9,26.47,165.117101089039,1,2.21758663436049,167.367965208687,171.352899992518,180.873257441417,172.353288774349,173.353622518771,1,7.51951556824497,176.354827582458,65110,67811,72593,74994,78595,84038
True,True,True,1,0,0,0.03,11.1,11.07,5.535,gamble,win,11.1,37.57,182.890670387889,1,0.700551590241957,183.624296912865,187.609156180231,188.609539202327,NaN,NaN,NaN,NaN,NaN,86438,87319,92100,0,0,93322
True,True,False,1,0,0,0.03,11.7,11.67,5.835,gamble,win,11.7,49.27,190.627040144696,1,0.667114432435483,191.327266630105,195.328867515316,196.312584116095,NaN,NaN,NaN,NaN,NaN,95722,96562,101364,0,0,102566
True,True,False,1,0,0,0.03,4.1,4.07,2.035,gamble,win,4.1,53.37,198.330034500803,1,0.500549734308152,198.863539495447,202.848439400928,212.352088190441,203.84876898551,204.849158727302,1,7.50295890177949,207.850332112488,104966,105606,110388,112789,116390,121813
True,False,True,1,0,0,-0.03,5.1,5.07,2.535,gamble,lose,5.07,58.44,214.369539855106,1,0.750542854628293,215.153223561414,219.138049550325,220.138445691817,NaN,NaN,NaN,NaN,NaN,124213,125154,129935,0,0,131157
True,True,True,1,0,0,0.03,9.5,9.47,4.735,gamble,win,9.5,67.94,222.155888716894,1,0.483781877701404,222.672747769248,226.657666233834,236.161343822023,227.658024617092,228.658390680008,1,7.50283346761717,231.659560865315,133557,134177,138959,141360,144961,150384
True,True,True,1,0,0,0.03,0.3,0.27,0.285,gamble,win,0.3,68.24,238.178775327629,1,0.717236890690401,238.912431931181,242.913937460864,243.914329442545,NaN,NaN,NaN,NaN,NaN,152784,153665,158466,0,0,159688
True,False,False,1,0,0,-0.03,10.9,10.87,5.435,gamble,lose,10.87,79.11,245.931775347475,1,1.16736146088806,247.132247581409,251.133805268619,260.620786356885,252.117508110037,253.117899451754,1,7.50280210908386,256.11904435826,162088,163528,168330,170711,174313,179736
True,False,False,1,0,0,-0.03,10.1,10.07,5.035,gamble,lose,10.07,89.18,262.638254980731,1,0.683841010963079,263.355188845599,267.340077231609,268.340524570696,NaN,NaN,NaN,NaN,NaN,182136,182996,187778,0,0,189000
True,True,True,1,0,0,0.03,12.9,12.87,6.435,gamble,win,12.9,102.08,270.357973035512,1,0.817205340164946,271.208299068268,275.243197277829,276.226882840041,NaN,NaN,NaN,NaN,NaN,191400,192420,197261,0,0,198463
True,True,True,1,0,0,0.03,0.7,0.67,0.685,gamble,win,0.7,102.78,278.244314985612,1,1.03404096959275,279.311449769069,283.296313516243,292.800008703605,284.296658460138,285.297041162237,1,7.5028654661146,288.298249745771,200863,202144,206925,209327,212928,218351
