isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,0.54,-0.46,-0.46,6.9,11.3,4.4,2.2,gamble,win,11.3,11.3,116.269508146153,None,116.269508146153,116.269508146153,None,117.953494161571,121.938353157409,NaN,NaN,NaN,NaN,,,16844,18865,23647,0,0,24869
False,0.54,-0.46,-0.92,7.36,3.7,-3.66,0.0200000000000005,certain,certain,0.0200000000000005,11.32,124.956188747055,None,124.956188747055,124.956188747055,None,126.956957028702,130.94183170376,NaN,NaN,NaN,NaN,,,27269,29669,34451,0,0,35673
False,0.54,-0.46,-1.38,-1.725,7.1,5.375,2.6875,gamble,lose,5.375,16.695,133.959649054319,None,133.959649054319,133.959649054319,None,135.293505028229,139.278364344049,140.278752484675,141.279138385409,0.56,144.280282968273,None,None,38073,39673,44455,46856,50457,55881
True,0.56,-0.44,-1.82,-1.69166666666667,11.5,9.80833333333333,4.90416666666667,gamble,lose,9.80833333333333,26.5033333333333,150.799380894903,None,150.799380894903,150.799380894903,None,151.999931843402,156.001475446345,NaN,NaN,NaN,NaN,,,58281,59721,64523,0,0,65725
False,0.56,-0.44,-2.26,8.42,4.9,-3.52,0.690000000000001,certain,certain,0.690000000000001,27.1933333333333,159.002584510981,None,159.002584510981,159.002584510981,None,160.453184737016,164.438055252282,165.438441153015,166.438832173495,0.54,169.439903480015,None,None,68125,69866,74647,77048,80649,86072
True,0.54,-0.46,-2.72,-1.83666666666667,4.1,2.26333333333333,1.13166666666667,gamble,lose,2.26333333333333,29.4566666666667,175.95915563895,None,175.95915563895,175.95915563895,None,177.759878546862,181.744734022875,NaN,NaN,NaN,NaN,,,88472,90633,95415,0,0,96637
False,0.54,-0.46,-3.18,9.62,7.9,-1.72,-0.859999999999999,gamble,win,7.9,37.3566666666667,184.762547533624,None,184.762547533624,184.762547533624,None,187.246839197785,191.248398479947,NaN,NaN,NaN,NaN,,,99037,102018,106820,0,0,108021
False,0.54,-0.46,-3.64,-1.91333333333333,4.3,2.38666666666667,1.19333333333333,gamble,lose,2.38666666666667,39.7433333333333,194.249531543384,None,194.249531543384,194.249531543384,None,195.750070396483,199.734952751158,200.735368090423,201.735723272694,0.58,204.736881934852,None,None,110421,112222,117004,119405,123006,128429
True,0.58,-0.42,-4.06,-1.80833333333333,6.1,4.29166666666667,2.14583333333333,gamble,lose,4.29166666666667,44.035,211.256080656451,None,211.256080656451,211.256080656451,None,212.589940150185,216.57478666665,NaN,NaN,NaN,NaN,,,130829,132430,137212,0,0,138433
True,0.58,-0.42,-4.48,10.36,0.5,-9.86,-4.68,certain,certain,-4.68,39.355,219.59262673607,None,219.59262673607,219.59262673607,None,221.726776199332,225.711652154321,226.712029415488,227.712419476018,0.53,230.713562458961,None,None,140833,143394,148176,150577,154178,159601
