isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_started,outcome1Box_2_stopped,outcome1Box_3_stopped,fixCross_ITI_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,True,0.6,-0.4,-0.4,6,9.7,3.7,1.85,gamble,win,9.7,9.7,125.637478057004,NaN,125.637478057004,None,None,None,NaN,NaN,NaN,NaN,NaN,13026,16628,21410,0,0,22631
True,True,False,0.6,-0.4,-0.8,6.4,-0.7,-7.1,-3.9,certain,certain,-3.9,5.8,135.641346356249,3,135.641346356249,None,None,None,NaN,NaN,NaN,NaN,NaN,25031,27032,31834,0,0,33035
True,False,False,0.6,-0.4,-1.2,-1.5,2.1,0.6,1.35,certain,certain,1.35,7.15,144.311403051252,3,144.311403051252,None,None,None,150.830605034134,151.830993815965,0.6,7.50284818693763,154.832159841491,35435,37276,42058,44459,48060,53503
True,True,False,0.6,-0.4,-1.6,7.2,8.5,1.3,0.649999999999999,gamble,win,8.5,15.65,161.372644350049,1,161.372644350049,None,None,None,NaN,NaN,NaN,NaN,NaN,55903,58204,62986,0,0,64207
True,True,False,0.6,-0.4,-2,7.6,10.5,2.9,1.45,gamble,win,10.5,26.15,170.288161577075,1,170.288161577075,None,None,None,176.507259500795,177.507653722423,0.68,7.5028385873884,180.508815908106,66607,68088,72890,75271,78872,84295
True,True,True,0.68,-0.32,-2.32,6.8,5.9,-0.899999999999999,-0.449999999999999,gamble,win,5.9,32.05,187.028028450499,1,187.028028450499,None,None,None,NaN,NaN,NaN,NaN,NaN,86695,88836,93618,0,0,94839
True,False,True,0.68,-0.32,-2.64,-1.34,3.3,1.96,0.98,gamble,lose,1.96,34.01,195.814754894644,1,195.814754894644,None,None,None,NaN,NaN,NaN,NaN,NaN,97239,98640,103422,0,0,104643
True,True,False,0.68,-0.32,-2.96,7.44,2.3,-5.14,-1.42,gamble,win,2.3,36.31,203.984613838838,1,203.984613838838,None,None,None,210.58712616947,211.587562949047,0.59,7.50296594144311,214.588735374273,107043,108984,113766,116167,119768,125211
True,False,True,0.59,-0.41,-3.37,-1.71583333333333,9.9,8.18416666666667,4.09208333333333,gamble,lose,8.18416666666667,44.4941666666667,221.12921892287,1,221.12921892287,None,None,None,NaN,NaN,NaN,NaN,NaN,127611,129332,134114,0,0,135335
True,True,True,0.59,-0.41,-3.78,9.52,0.3,-9.22,-4.46,certain,certain,-4.46,40.0341666666667,229.561228499399,3,229.561228499399,None,None,None,236.76402798458,237.764411966666,0.5,7.50294834224042,240.765519754903,137735,140396,145178,147579,151181,156604
