isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_stopped,fixCross_2_started,outcome2Box_2_stopped,outcome2Box_3_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
FALSE,0.56,-0.44,-0.44,6.6,12.9,6.3,3.15,gamble,win,12.9,12.9,924.9083051,None,924.9083051,None,927.9094068,None,None,NaN,NaN,NaN,NaN,,,14247,17849,22631,0,0,23852
FALSE,0.56,-0.44,-0.88,-1.613333333,5.7,4.086666667,2.043333333,gamble,lose,4.086666667,16.98666667,934.9121235,None,934.9121235,None,937.4797945,None,None,NaN,NaN,NaN,NaN,,,26252,29333,34115,0,0,35336
FALSE,0.56,-0.44,-1.32,7.48,4.9,-2.58,1.16,gamble,win,4.9,21.88666667,944.4824994,None,944.4824994,None,947.4836737,None,None,952.4689768,953.4693307,0.55,956.4704788,None,None,37736,41338,46120,48521,52122,57565
TRUE,0.55,-0.45,-1.77,8.07,2.9,-5.17,-1.135,gamble,win,2.9,24.78666667,963.0064138,None,963.0064138,None,966.007551,None,None,NaN,NaN,NaN,NaN,,,59965,63567,68349,0,0,69570
FALSE,0.55,-0.45,-2.22,8.52,8.5,-0.02,-0.01,gamble,win,8.5,33.28666667,973.0102379,None,973.0102379,None,974.5442191,None,None,979.5294591,980.5298815,0.63,983.5309717,None,None,71970,73811,78613,80994,84595,90018
FALSE,0.63,-0.37,-2.59,-1.510833333,7.1,5.589166667,2.794583333,gamble,lose,5.589166667,38.87583333,990.0502757,None,990.0502757,None,991.4507623,None,None,NaN,NaN,NaN,NaN,,,92418,94099,98881,0,0,100102
TRUE,0.63,-0.37,-2.96,-1.541666667,5.5,3.958333333,1.979166667,gamble,lose,3.958333333,42.83416667,998.4535167,None,998.4535167,None,1000.220819,None,None,NaN,NaN,NaN,NaN,,,102502,104623,109405,0,0,110626
FALSE,0.63,-0.37,-3.33,-1.5725,0.9,-0.6725,0.11375,gamble,lose,-0.6725,42.16166667,1007.22349,None,1007.22349,None,1010.208005,None,None,1015.193312,1016.193657,0.4,1019.194833,None,None,113026,116607,121389,123790,127392,132815
FALSE,0.4,-0.6,-3.93,12.33,11.3,-1.03,-0.515,gamble,win,11.3,53.46166667,1025.714019,None,1025.714019,None,1028.715185,None,None,NaN,NaN,NaN,NaN,,,135215,138816,143618,0,0,144820
FALSE,0.4,-0.6,-4.53,12.93,6.5,-6.43,0.035,certain,certain,0.035,53.49666667,1035.717902,None,1035.717902,None,1038.669047,None,None,1043.654382,1044.654753,0.43,1047.65587,None,None,147220,150761,155563,157944,161545,166968
TRUE,0.43,-0.57,-5.1,13.08,3.1,-9.98,-3.44,gamble,win,3.1,56.59666667,1054.175115,None,1054.175115,None,1057.176254,None,None,NaN,NaN,NaN,NaN,,,169368,172970,177752,0,0,178973
TRUE,0.43,-0.57,-5.67,13.65,12.3,-1.35,-0.675,gamble,win,12.3,68.89666667,1064.178918,None,1064.178918,None,1065.746198,None,None,1070.731515,1071.731929,0.72,1074.733019,None,None,181373,183254,188056,190437,194038,199461
TRUE,0.72,-0.28,-5.95,9.87,6.9,-2.97,1.965,gamble,win,6.9,75.79666667,1081.252306,None,1081.252306,None,1083.219657,None,None,NaN,NaN,NaN,NaN,,,201861,204222,209004,0,0,210285
