lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,choiceKey_rt,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
0.38,0.42,True,True,True,0.42,-0.58,-0.58,8.7,6.3,-2.4,1.95,gamble,win,6.3,6.3,1823.44192257919,NaN,1826.44304956298,1830.42791175866,1831.42832709791,NaN,NaN,NaN,NaN,NaN,NaN,14357,17959,22741,0,0,23962
NaN,NaN,True,False,True,0.42,-0.58,-1.16,-2.12666666666667,8.5,6.37333333333333,3.18666666666667,gamble,lose,6.37333333333333,12.6733333333333,1833.44575374795,NaN,1836.44693000923,1840.43176180642,1841.43217458582,NaN,NaN,NaN,NaN,NaN,NaN,26362,29964,34745,0,0,35967
NaN,NaN,True,True,True,0.42,-0.58,-1.74,9.86,-1.3,-11.16,-6.23,gamble,win,-1.3,11.3733333333333,1843.44959579618,NaN,1846.45074837864,1850.45229486143,1859.9392727915,1851.43602943339,1852.43638461566,0.5,7.50281585945049,1855.43752503872,NaN,38367,41968,46770,49151,52752,58176
NaN,NaN,True,True,True,0.5,-0.5,-2.24,9.24,0.7,-8.54,-3.92,gamble,win,0.7,12.0733333333333,1861.95671448082,NaN,1864.95787058311,1868.94273565861,1869.94312827906,NaN,NaN,NaN,NaN,NaN,NaN,60576,64177,68959,0,0,70180
NaN,NaN,True,False,True,0.5,-0.5,-2.74,-1.97833333333333,5.7,3.72166666666667,1.86083333333333,gamble,lose,3.72166666666667,15.795,1871.96056836843,NaN,1874.96175358928,1878.94657642691,1888.45024824358,1879.94697096723,1880.94735494803,0.5,7.50281105970498,1883.94850081083,NaN,72580,76181,80963,83364,86966,92389
NaN,NaN,True,True,True,0.5,-0.5,-3.24,10.24,4.3,-5.94,-0.82,gamble,win,4.3,20.095,1890.46769377275,NaN,1893.46884923504,1897.45371495053,1898.45412836992,NaN,NaN,NaN,NaN,NaN,NaN,94789,98390,103172,0,0,104394
NaN,NaN,True,False,False,0.5,-0.5,-3.74,-2.06166666666667,11.9,9.83833333333333,4.91916666666667,gamble,lose,9.83833333333333,29.9333333333333,1900.47154414048,NaN,1903.47269640298,1907.45756851818,1908.45795313898,NaN,NaN,NaN,NaN,NaN,NaN,106794,110395,115177,0,0,116398
NaN,NaN,True,True,True,0.5,-0.5,-4.24,11.24,-0.9,-12.14,-6.52,certain,certain,-6.52,23.4133333333333,1910.47538170894,3,1912.84296463919,1916.84451368189,1926.33149577171,1917.82828185218,1918.82857207768,0.46,7.50278706086101,1921.8298094559,2.3345295402687,118798,121639,126441,128822,132424,137847
NaN,NaN,True,True,True,0.46,-0.54,-4.78,12.34,2.9,-9.44,-3.27,gamble,win,2.9,26.3133333333333,1928.34897105937,1,1930.18297550589,1934.18451878882,1935.16822360229,NaN,NaN,NaN,NaN,NaN,1.80090497882338,140247,142447,147249,0,0,148451
NaN,NaN,True,True,False,0.46,-0.54,-5.32,12.88,-0.1,-12.98,-6.54,gamble,win,-0.1,26.2133333333333,1937.18567169126,NaN,1940.18683131336,1944.18837523629,1953.67534708668,1945.17207461002,1946.17246275063,0.48,7.50272178417072,1949.1736079735,NaN,150851,154452,159254,161635,165237,170659
NaN,NaN,True,False,True,0.48,-0.52,-5.84,-2.30666666666667,8.7,6.39333333333333,3.19666666666667,gamble,lose,6.39333333333333,32.6066666666667,1955.69279773551,1,1956.77654555487,1960.76141543011,1961.76179589116,NaN,NaN,NaN,NaN,NaN,1.05047972005559,173059,174360,179142,0,0,180364
NaN,NaN,True,True,True,0.48,-0.52,-6.36,13.64,13.7,0.0599999999999987,0.0299999999999994,gamble,win,13.7,46.3066666666667,1963.77924014034,1,1964.64624069969,1968.64780158177,1978.13483038929,1969.6315486331,1970.63187085697,0.5,7.50280146015575,1973.63306183752,0.833941089629661,182764,183804,188606,190987,194588,200011
NaN,NaN,True,True,True,0.5,-0.5,-6.86,13.86,9.1,-4.76,-2.38,gamble,win,9.1,55.4066666666667,1980.15221224155,1,1981.48605541611,1985.47091217205,1986.47130543244,NaN,NaN,NaN,NaN,NaN,1.30077186546987,202411,204012,208794,0,0,210015
NaN,NaN,True,True,True,0.5,-0.5,-7.36,14.36,10.1,-4.26,-2.13,certain,certain,-2.13,53.2766666666667,1988.48875320144,3,1989.93930638983,1993.94085191266,1994.92456376576,NaN,NaN,NaN,NaN,NaN,1.41744412115077,212415,214156,218957,0,0,220159
NaN,NaN,True,True,True,0.5,-0.5,-7.86,14.86,3.3,-11.56,-4.13,gamble,win,3.3,56.5766666666667,1996.94200577505,1,1998.17581458332,2002.17735050665,2011.66437835421,2003.16106779949,2004.16144922044,0.5,7.50278738082852,2007.16260116297,1.20069878111826,222559,224039,228841,231222,234824,240247
NaN,NaN,True,False,False,0.5,-0.5,-8.36,-2.44666666666667,3.9,1.45333333333333,0.726666666666667,gamble,lose,1.45333333333333,58.03,2013.68178100546,1,2014.59879314824,2018.58366366348,2019.58397244808,NaN,NaN,NaN,NaN,NaN,0.883754282956943,242647,243747,248529,0,0,249751
NaN,NaN,True,True,True,0.5,-0.5,-8.86,15.86,13.3,-2.56,-1.28,gamble,win,13.3,71.33,2021.60145733523,1,2023.01870946604,2027.0202466693,2036.50723291893,2028.00395820237,2029.00433962338,0.5,7.50280434003798,2032.00548228633,1.38419618096668,252151,253851,258653,261034,264635,270058
