lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,choiceKey_rt,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
0.34,0.5,True,True,True,0.5,-0.5,-0.5,7.5,1.5,-6,-2.25,gamble,win,1.5,1.5,240.845924491412,NaN,243.84714747034,247.832015105756,248.832345329341,NaN,NaN,NaN,NaN,NaN,NaN,16450,20051,24833,0,0,26055
NaN,NaN,True,True,False,0.5,-0.5,-1,8,3.3,-4.7,-0.7,gamble,win,3.3,4.8,250.849840775947,1,252.767248098971,256.768733784789,257.752448517713,1.88413794385269,NaN,NaN,NaN,NaN,NaN,28455,30756,35558,0,0,36759
NaN,NaN,True,False,True,0.5,-0.5,-1.5,-1.875,6.1,4.225,2.1125,gamble,lose,4.225,9.025,259.769885407295,1,262.287567084655,266.289073569467,275.792722667335,2.50125465739984,267.289502668078,268.289832891547,0.57,7.50280913978349,271.291029951768,39159,42180,46982,49383,52984,58408
NaN,NaN,True,True,False,0.57,-0.43,-1.93,7.95,2.3,-5.65,-1.675,gamble,win,2.3,11.325,277.810238272883,1,279.844332890934,283.829117970425,284.829512190772,2.00099771027453,NaN,NaN,NaN,NaN,NaN,60808,63248,68030,0,0,69252
NaN,NaN,True,False,False,0.57,-0.43,-2.36,-1.70166666666667,4.5,2.79833333333333,1.39916666666667,gamble,lose,2.79833333333333,14.1233333333333,286.846982358606,1,288.164120767033,292.148994162213,301.65261990123,1.2840786188608,293.14936630358,294.149751564371,0.55,7.50280817982275,297.150894867373,71652,73232,78014,80415,84017,89440
NaN,NaN,True,True,False,0.55,-0.45,-2.81,9.11,10.1,0.99,0.495,gamble,win,10.1,24.2233333333333,303.670196303749,1,305.103967609932,309.105562410317,310.089320341125,1.40070895664394,NaN,NaN,NaN,NaN,NaN,91840,93560,98362,0,0,99564
NaN,NaN,True,True,False,0.55,-0.45,-3.26,9.56,11.3,1.74,0.870000000000001,gamble,win,11.3,35.5233333333333,312.106682674377,1,313.357202648418,317.342027726001,318.342415546649,1.21741314674728,NaN,NaN,NaN,NaN,NaN,101964,103464,108246,0,0,109468
NaN,NaN,True,True,True,0.55,-0.45,-3.71,10.01,0.9,-9.11,-4.105,gamble,win,0.9,36.4233333333333,320.359889554325,NaN,323.361047576531,327.36258861958,336.849539031042,NaN,328.34629631287,329.346651175176,0.66,7.5028523375513,332.34782199678,111868,115469,120271,122652,126253,131676
NaN,NaN,True,True,False,0.66,-0.34,-4.05,8.81,7.5,-1.31,-0.655,gamble,win,7.5,43.9233333333333,338.86696376116,1,340.500922513893,344.502459717216,345.486253166222,1.60090952261817,NaN,NaN,NaN,NaN,NaN,134076,136037,140839,0,0,142040
NaN,NaN,True,False,True,0.66,-0.34,-4.39,-1.55583333333333,13.3,11.7441666666667,5.87208333333333,gamble,lose,11.7441666666667,55.6675,347.503616459435,1,348.870868846192,352.855673444807,362.359382699593,1.33414203964639,353.856059345533,354.856501243426,0.73,7.50280561996624,357.85758790921,144440,146081,150863,153264,156865,162288
NaN,NaN,True,False,True,0.73,-0.27,-4.66,-1.33333333333333,6.9,5.56666666666667,2.78333333333333,gamble,lose,5.56666666666667,61.2341666666667,364.376825028914,1,365.677325867931,369.66214646562,370.662622601842,1.26745736855082,NaN,NaN,NaN,NaN,NaN,164688,166249,171031,0,0,172252
NaN,NaN,True,False,True,0.73,-0.27,-4.93,-1.35583333333333,10.5,9.14416666666667,4.57208333333333,gamble,lose,9.14416666666667,70.3783333333333,372.679973735707,1,373.863767120754,377.865297604352,387.3523414511,1.15069295733701,378.849062574795,379.849409437506,0.75,7.50281553948298,382.850531941396,174652,176073,180875,183256,186857,192280
NaN,NaN,True,True,True,0.75,-0.25,-5.18,8.68,4.3,-4.38,-0.04,certain,certain,-0.04,70.3383333333333,389.369724583346,3,391.570628474234,395.572167917388,396.555903449305,2.1678744998062,NaN,NaN,NaN,NaN,NaN,194680,197321,202123,0,0,203324
NaN,NaN,True,True,False,0.75,-0.25,-5.43,8.93,11.9,2.97,1.485,gamble,win,11.9,82.2383333333333,398.573322419776,1,399.690383456065,403.725302672945,404.675727227703,1.08408348250668,NaN,NaN,NaN,NaN,NaN,205724,207065,211907,0,0,213068
NaN,NaN,True,True,False,0.75,-0.25,-5.68,9.18,8.9,-0.279999999999999,-0.14,gamble,win,8.9,91.1383333333333,406.693111639819,1,408.910579503863,412.912200542982,422.399152554339,2.184206164442,413.895849039196,414.896216700901,0.73,7.50281457952224,417.897357763955,215468,218129,222931,225312,228913,234337
NaN,NaN,True,True,False,0.73,-0.27,-5.95,9.73,4.9,-4.83,0.0350000000000001,certain,certain,0.0350000000000001,91.1733333333333,424.416569284862,3,426.567369116936,430.568962317426,431.55267065065,2.11771540367045,NaN,NaN,NaN,NaN,NaN,236737,239318,244119,0,0,245321
NaN,NaN,True,True,False,0.73,-0.27,-6.22,10,4.1,-5.9,-0.9,gamble,win,4.1,95.2733333333333,433.570067542256,NaN,436.571203165571,440.556089360034,450.059749657288,NaN,441.556533497875,442.556873000925,0.78,7.50273138366174,445.558071661042,247721,251322,256104,258505,262106,267529
NaN,NaN,True,False,False,0.78,-0.22,-6.44,-1.30666666666667,0.1,-1.20666666666667,-0.553333333333333,gamble,lose,-1.20666666666667,94.0666666666666,452.077248303802,NaN,455.078400886268,459.063204524806,460.063610264566,NaN,NaN,NaN,NaN,NaN,NaN,269929,273531,278313,0,0,279534
NaN,NaN,True,True,True,0.78,-0.22,-6.66,9.74,5.7,-4.04,0.830000000000001,certain,certain,0.830000000000001,94.8966666666666,462.081035634736,3,463.948445773567,467.933344127494,468.933728108299,1.83430011174642,NaN,NaN,NaN,NaN,NaN,281934,284175,288957,0,0,290178
NaN,NaN,True,True,False,0.78,-0.22,-6.88,9.96,-0.3,-10.26,-5.28,certain,certain,-5.28,89.6166666666666,470.951214595349,3,473.435407384415,477.437003784813,486.923958995962,2.4509179701563,478.420659320662,479.421095458907,0.75,7.50281361956149,482.422178604873,292578,295560,300361,302742,306344,311767
NaN,NaN,True,True,True,0.75,-0.25,-7.13,10.63,6.3,-4.33,0.985,gamble,win,6.3,95.9166666666666,488.941375726485,1,491.359002558631,495.36051384313,496.344272733899,2.38457056228071,NaN,NaN,NaN,NaN,NaN,314167,317068,321870,0,0,323071
NaN,NaN,True,False,False,0.75,-0.25,-7.38,-1.49,5.5,4.01,2.005,gamble,lose,4.01,99.9266666666666,498.361716663116,1,499.562154977233,503.546989334282,513.050704348832,1.16734396608081,504.547429952305,505.547818412888,0.75,7.50277714140248,508.548909238423,325471,326912,331694,334095,337696,343119
NaN,NaN,True,True,True,0.75,-0.25,-7.63,11.13,5.3,-5.83,-0.265,certain,certain,-0.265,99.6616666666666,515.068096440635,3,517.419051080942,521.40392063628,522.40424542001,2.31788045132998,NaN,NaN,NaN,NaN,NaN,345519,348340,353122,0,0,354344
NaN,NaN,True,True,False,0.75,-0.25,-7.88,11.38,10.3,-1.08,-0.539999999999999,gamble,win,10.3,109.961666666667,524.421668550349,1,525.755610919907,529.757130524027,539.24406173639,1.30082626279909,530.740804939065,531.741222838173,0.8,7.50271890428849,534.742374460679,356744,358344,363146,365527,369128,374552
NaN,NaN,True,False,True,0.8,-0.2,-8.08,-1.37333333333333,12.7,11.3266666666667,5.66333333333333,gamble,lose,11.3266666666667,121.288333333333,541.261554623139,1,542.695440483629,546.680303319241,547.680642182357,1.40061904117465,NaN,NaN,NaN,NaN,NaN,376952,378672,383454,0,0,384676
NaN,NaN,True,False,False,0.8,-0.2,-8.28,-1.39,13.5,12.11,6.055,gamble,lose,12.11,133.398333333333,549.698140188819,1,550.631849098136,554.633376381826,555.617061356315,0.900591202429496,NaN,NaN,NaN,NaN,NaN,387076,388196,392998,0,0,394199
NaN,NaN,True,True,False,0.8,-0.2,-8.48,11.28,3.9,-7.38,-1.74,gamble,win,3.9,137.298333333333,557.634469767218,1,560.235525202588,564.220331721008,573.723994258209,2.56793484871741,565.220719541656,566.221108002239,0.78,7.50276530196425,569.222288103425,396599,399721,404502,406903,410505,415908
NaN,0.78,False,True,True,0.78,0.78,0.78,-11.7,11.7,0,0,gamble,lose,0,137.298333333333,588.196251003188,1,589.696802335675,593.681684370269,594.682054911857,1.46746818406973,NaN,NaN,NaN,NaN,NaN,433274,435074,439856,0,0,441078
