currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.rt,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,choiceKey.rt,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
1,black.png,"Welcome! You are about to play our gambling task.
This task has 3 blocks and takes about 15 minutes.",,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.635186116702243,None,11.635186116702243,None,11.635186116702243,None,4,1.2174065384642745,11.635186116702243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
2,black.png,"In this game, you may win or lose points. Your goal is to get as many points as possible. These points will be converted to a cash bonus at the end.
Sometimes we will ask you to rate your mood.",,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,12.902385368190153,None,12.902385368190153,None,12.902385368190153,None,4,0.3670153874918469,12.902385368190153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
3,black.png,"On the next screen, please rate how you feel about your life these days. Use the LEFT (green) and RIGHT (blue) buttons to move the slider (you can press and hold them to slide gradually) and the TOP (red) button to lock in your response.
Make your rating as accurately and quickly as you can!",,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,13.319215227755194,None,13.319215227755194,None,13.319215227755194,None,4,0.206271983042825,13.319215227755194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.535960994977358,None,1.0,9.563781544227822,17.55424595921795,None,4,5.535706606049644,17.55424595921795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
4,black.png,"In this game you can win money by earning points according to your choices. You will decide whether to gamble a number of points or stick with a guaranteed number of points. 
Make your choice by pressing the left or right arrow key once. An example of one trial is shown on the next screen.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.139760637619474,None,23.139760637619474,None,23.139760637619474,None,4,1.2840439584069827,23.139760637619474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
5,example_start.png,"The GAMBLING OPTION will be shown on the RIGHT SIDE. 
Select this option using the RIGHT (blue) button on your keypad.",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.49029610231446,None,24.49029610231446,None,24.49029610231446,None,4,1.1671738445947994,24.49029610231446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
6,example_gamble.png,"Once you select the gambling choice, the choice you made will remain on the screen.",,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72406096886698,None,25.72406096886698,None,25.72406096886698,None,4,0.4504066383051395,25.72406096886698,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
7,example_win.png,"The outcome you received will then be shown on the screen. In this example , you WON 10 points.",,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.207628404012212,None,26.207628404012212,None,26.207628404012212,None,4,0.21693423902252107,26.207628404012212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
8,example_start.png,"The GUARANTEED OPTION will be shown on the LEFT SIDE. You are 100% guaranteed to gain or lose this amount. In this example, you have a 100% chance of winning 1 point. Select this option using the LEFT (green) button on your keyboard.",,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.474397594218317,None,26.474397594218317,None,26.474397594218317,None,4,0.13357626675860956,26.474397594218317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
9,example_certain.png,"Once you select the guaranteed choice, your selection will remain on the screen.",,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.64113849765272,None,26.64113849765272,None,26.64113849765272,None,4,0.13355994746962097,26.64113849765272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
